org_id,target_group_id
accentus-stiftung,institutionen
accentus-stiftung,organisationen
active-communication-ag,personen-mit-korperlicher-und-oder-geistiger-einschrankung
active-communication-ag,fachpersonen-heilpadagogik
active-communication-ag,logopadie
active-communication-ag,sozialpadagogik
active-communication-ag,agogik
active-communication-ag,ergotherapie-etc
adele-koller-knusli-stiftung,jugend-familie
adele-koller-knusli-stiftung,altere-menschen
adele-koller-knusli-stiftung,menschen-mit-behinderungen
adele-koller-knusli-stiftung,auslander-innen
adele-koller-knusli-stiftung,armut
albert-und-ida-beer-stiftung,bedurftige
albert-und-ida-beer-stiftung,gemeinnutzige-institutionen
alfred-und-bertha-zangger-weber-stiftung,kinder
alfred-und-bertha-zangger-weber-stiftung,jugend-und-familie
alfred-und-bertha-zangger-weber-stiftung,altere-menschen
alfred-und-bertha-zangger-weber-stiftung,kranke
alfred-und-bertha-zangger-weber-stiftung,in-ausbildung-stehende
alfred-und-bertha-zangger-weber-stiftung,menschen-mit-behinderungen
anna-caroline-stiftung,jugend-familie
anna-caroline-stiftung,ausbildung
anna-caroline-stiftung,frauen-an-der-universitat-eth-nicht-fachhochschulen
anna-maria-und-karl-kramer-stiftung,beitrage-an-kleinere-institutionen
anna-maria-und-karl-kramer-stiftung,die-sozial
anna-maria-und-karl-kramer-stiftung,gemeinnutzig
anna-maria-und-karl-kramer-stiftung,kulturell-oder-okologisch-schwergewichtig-in-der-schweiz-tatig-sind
anna-maria-und-karl-kramer-stiftung,v-a-innovative-projekte-mit-nachhaltiger-wirkung-keine-einzelhilfe
anna-und-paul-bucher-gossweiler-stiftung,armut
august-weidmann-fursorge-stiftung,jugend-familie
august-weidmann-fursorge-stiftung,altere-menschen
august-weidmann-fursorge-stiftung,menschen-mit-behinderungen
august-weidmann-fursorge-stiftung,kranke
august-weidmann-fursorge-stiftung,auslander-innen-mit-niederlassungsbewilligung
august-weidmann-fursorge-stiftung,ausbildung
august-weidmann-fursorge-stiftung,armut
buchmann-kollbrunner-stiftung,geistig-und-oder-korperlich-menschen-mit-behinderungen-personen
buchmann-kollbrunner-stiftung,institutionen-fur-geistig-und-oder-korperlich-menschen-mit-behinderungen-persone
burgschafts-und-darlehensgenossenschaft,das-angebot-richtet-sich-an-mitglieder-der-evang-reformierten-landeskirche-des-k
cassinelli-vogel-stiftung,jugend
cassinelli-vogel-stiftung,familie
cassinelli-vogel-stiftung,betagte
cassinelli-vogel-stiftung,menschen-mit-behinderungen
cassinelli-vogel-stiftung,kranke
cassinelli-vogel-stiftung,auslander-innen
cassinelli-vogel-stiftung,armut
cassinelli-vogel-stiftung,ausbildung
chana-lutomirsky-stiftung,menschen-mit-behinderungen
charles-e-blatter-stiftung,studierende-schweizer-innen-und-auslander-innen-an-einer-schweizerischen-univers
deutscher-hilfsverein-zurich,jugend-familie
deutscher-hilfsverein-zurich,altere-menschen
deutscher-hilfsverein-zurich,menschen-mit-behinderungen
deutscher-hilfsverein-zurich,kranke
deutscher-hilfsverein-zurich,in-ch-lebende-burger-mit-de-nationalitat
deutscher-hilfsverein-zurich,armut
dora-grob-reinhart-stiftung,frauen-und-kinder-in-not
dr-arnold-u-huggenberger-stiftung,kinder-jugendliche-bis-zum-18-altersjahr-in-finanziell-knappen-verhaltnissen-fur
dr-arnold-u-huggenberger-stiftung,etc
dr-arnold-u-huggenberger-stiftung,personen-ab-70sten-altersjahr
dr-arnold-u-huggenberger-stiftung,armut
dr-hans-duttweiler-hug-stiftung,menschen-mit-behinderungen
dr-max-husmann-stiftung,absolventen-von-einer-erstausbildung-an-der-universitat-oder-an-der-eth-bis-zum-
dr-max-husmann-stiftung,musikhochschulabsolventen-ab-lehrdiplom-keine-fachhochschulen
dr-stephan-a-porta-stiftung,jugend-und-familie
dr-stephan-a-porta-stiftung,altere-menschen
dr-stephan-a-porta-stiftung,menschen-mit-behinderungen
dr-stephan-a-porta-stiftung,gesundheit-krankheit
dr-stephan-a-porta-stiftung,migration-asyl
dr-stephan-a-porta-stiftung,armut
educationsuisse,jugend-familie
educationsuisse,ausbildung
educationsuisse,auslandschweizer-innen-schweizer-staatsburger-innen
educationsuisse,deren-eltern-ihren-wohnsitz-im-ausland-haben-und-absolventen-der-schweizerschule
elisabetha-baumann-fonds,jugend-familie
elisabetha-baumann-fonds,ausbildung
emil-huber-stockar-stiftung,ausbildung
erika-fissmer-stiftung,jugend-familie
erika-fissmer-stiftung,altere-menschen
erika-fissmer-stiftung,menschen-mit-behinderungen
erika-fissmer-stiftung,kranke
erika-fissmer-stiftung,armut
eth-zurich-studienfinanzierung,ausschliesslich-fur-studierende-der-eth-zurich-bachelor-und-masterstudium
ernst-und-frieda-bantli-stiftung,altere-menschen
ernst-und-frieda-bantli-stiftung,armut
f-a-kagi-rutishauser-stiftung,jugend-familie
f-a-kagi-rutishauser-stiftung,ausbildung
fondation-oertli-stiftung,offentliche-und-private
fondation-oertli-stiftung,kulturelle-und-gemeinnutzige-institutionen
fred-tschanz-stiftung,jugend-familie
fred-tschanz-stiftung,menschen-mit-behinderungen
fred-tschanz-stiftung,ausbildung
frieda-locher-hofmann-stiftung,menschen-mit-behinderungen
frieda-locher-hofmann-stiftung,kranke
frieda-locher-hofmann-stiftung,soz-institutionen
frieda-locher-hofmann-stiftung,gesundheit
friedrich-und-amalie-meyer-baumann-stiftung,blinde-und-sehmenschen-mit-behinderungen
friedrich-und-amalie-meyer-baumann-stiftung,ausbildung
fritz-gerber-stiftung-fur-begabte-junge-menschen,unterstutzungsberechtigt-sind-junge-menschen-im-alter-zwischen-10-und-25-jahren
fritz-gerber-stiftung-fur-begabte-junge-menschen,die-in-der-schweiz-ihren-dauernden-wohnsitz-mindestens-die-vergangenen-drei-jahr
fritz-gerber-stiftung-fur-begabte-junge-menschen,handwerk
fritz-gerber-stiftung-fur-begabte-junge-menschen,kultur-und-sport-nicht-berucksichtigt-werden-gesuche-von-bewerbern-der-universit
fur-die-kinder-fur-die-zukunft,jugend-familie
gemeinnutzige-gesellschaft-der-bezirke-zurich-dietikon,jugend-familie
gemeinnutzige-gesellschaft-der-bezirke-zurich-dietikon,ausbildung
gemeinnutzige-gesellschaft-des-bezirks-affoltern,jugend-familie
gemeinnutzige-gesellschaft-des-bezirks-affoltern,betagte
gemeinnutzige-gesellschaft-des-bezirks-affoltern,ubrige
gemeinnutzige-gesellschaft-des-bezirks-affoltern,soz-institutionen
gemeinnutzige-gesellschaft-des-bezirks-affoltern,armut
gemeinnutzige-gesellschaft-des-bezirks-affoltern,kultur
gemeinnutzige-gesellschaft-des-bezirks-affoltern,ausbildung
gemeinnutzige-gesellschaft-des-bezirks-affoltern,verschiedenes-im-bezirk-affoltern-am-albis
gemeinnutzige-gesellschaft-des-bezirks-andelfingen,jugend-familie
gemeinnutzige-gesellschaft-des-bezirks-andelfingen,altere-menschen
gemeinnutzige-gesellschaft-des-bezirks-andelfingen,menschen-mit-behinderungen
gemeinnutzige-gesellschaft-des-bezirks-andelfingen,kranke
gemeinnutzige-gesellschaft-des-bezirks-andelfingen,ausbildung
gemeinnutzige-gesellschaft-des-bezirks-andelfingen,armut
gemeinnutzige-gesellschaft-des-bezirks-bulach,jugend-familie
gemeinnutzige-gesellschaft-des-bezirks-bulach,menschen-mit-behinderungen
gemeinnutzige-gesellschaft-des-bezirks-bulach,aus-und-weiterbildung-in-notfallen
gemeinnutzige-gesellschaft-des-bezirks-bulach,armut
gemeinnutzige-gesellschaft-des-bezirks-dielsdorf,jugend
gemeinnutzige-gesellschaft-des-bezirks-dielsdorf,familie
gemeinnutzige-gesellschaft-des-bezirks-dielsdorf,betagte
gemeinnutzige-gesellschaft-des-bezirks-dielsdorf,soz-institutionen
gemeinnutzige-gesellschaft-des-bezirks-dielsdorf,armut
gemeinnutzige-gesellschaft-des-bezirks-dielsdorf,verschiedenes
gemeinnutzige-gesellschaft-des-bezirks-hinwil,jugend-familie
gemeinnutzige-gesellschaft-des-bezirks-hinwil,altere-menschen
gemeinnutzige-gesellschaft-des-bezirks-hinwil,menschen-mit-behinderungen
gemeinnutzige-gesellschaft-des-bezirks-hinwil,kranke
gemeinnutzige-gesellschaft-des-bezirks-hinwil,auslander-innen
gemeinnutzige-gesellschaft-des-bezirks-hinwil,ausbildung
gemeinnutzige-gesellschaft-des-bezirks-hinwil,armut-wohnsitz-im-bezirk-hinwil-bzw-wirkung-des-projekts-im-bezirk-hinwil
gemeinnutzige-gesellschaft-des-bezirks-pfaffikon,jugend-und-familie
gemeinnutzige-gesellschaft-des-bezirks-pfaffikon,altere-menschen
gemeinnutzige-gesellschaft-des-bezirks-pfaffikon,armut
gemeinnutzige-gesellschaft-des-bezirks-pfaffikon,ausbildung
gemeinnutzige-gesellschaft-des-bezirks-pfaffikon,freiwilligenarbeit
gemeinnutzige-gesellschaft-des-bezirks-pfaffikon,zusatzlich-zu-bereits-vorhandenen-altere-menschen
gemeinnutzige-gesellschaft-bezirk-winterthur,jugend-und-familie
gemeinnutzige-gesellschaft-bezirk-winterthur,altere-menschen
gemeinnutzige-gesellschaft-bezirk-winterthur,menschen-mit-behinderungen
gemeinnutzige-gesellschaft-bezirk-winterthur,gesundheit-krankheit
gemeinnutzige-gesellschaft-bezirk-winterthur,migration-asyl
gemeinnutzige-gesellschaft-bezirk-winterthur,armut
gemeinnutzige-gesellschaft-bezirk-winterthur,ausbildung
gemeinnutzige-gesellschaft-des-bezirks-uster,jugend-familie
gemeinnutzige-gesellschaft-des-bezirks-uster,altere-menschen
gemeinnutzige-gesellschaft-des-bezirks-uster,menschen-mit-behinderungen
gemeinnutzige-gesellschaft-des-bezirks-uster,kranke
gemeinnutzige-gesellschaft-des-bezirks-uster,auslander-innen
gemeinnutzige-gesellschaft-des-bezirks-uster,ausbildung
gemeinnutzige-gesellschaft-des-bezirks-uster,armut
gemeinnutzige-gesellschaft-des-kantons-zurich,jugend-familie
gemeinnutzige-gesellschaft-des-kantons-zurich,menschen-mit-behinderungen
gemeinnutzige-gesellschaft-des-kantons-zurich,kranke
gemeinnutzige-gesellschaft-des-kantons-zurich,auslander-innen
gemeinnutzige-gesellschaft-des-kantons-zurich,ausbildung
gemeinnutzige-gesellschaft-des-kantons-zurich,armut
georg-und-bertha-schwyzer-winiker-stiftung,jugend
georg-und-bertha-schwyzer-winiker-stiftung,familie
georg-und-bertha-schwyzer-winiker-stiftung,menschen-mit-behinderungen
georg-und-bertha-schwyzer-winiker-stiftung,kranke
georg-und-bertha-schwyzer-winiker-stiftung,auslander-innen
georg-und-bertha-schwyzer-winiker-stiftung,gesundheit
georg-und-bertha-schwyzer-winiker-stiftung,armut
gottfried-r-friedli-stiftung,jugend-familie
gottfried-r-friedli-stiftung,ausbildung
gottfried-scharer-stiftung,jugend-familie
gottfried-scharer-stiftung,altere-menschen
gottfried-scharer-stiftung,menschen-mit-behinderungen
gottfried-scharer-stiftung,kranke
gottfried-scharer-stiftung,ausbildung
gottfried-scharer-stiftung,armut
grutli-stiftung-zurich,jugend-und-familie
grutli-stiftung-zurich,altere-menschen
grutli-stiftung-zurich,menschen-mit-behinderungen
grutli-stiftung-zurich,gesundheit-krankheit
grutli-stiftung-zurich,migration-asyl
grutli-stiftung-zurich,armut
grutli-stiftung-zurich,ausbildung
hans-henny-fonds-der-albertus-magnus-stiftung,jugend-familie
hans-henny-fonds-der-albertus-magnus-stiftung,ausblidung
hans-henny-fonds-der-albertus-magnus-stiftung,armut
hans-jegen-stiftung,behinderte-kinder-und-jugendliche-in-der-schweiz-mit-fokus-sudostschweiz
hans-konrad-rahn-stiftung,soziale-institutionen
hans-trachsler-fonds,jugend-familie
hans-trachsler-fonds,altere-menschen
hans-trachsler-fonds,menschen-mit-behinderungen
hans-trachsler-fonds,kranke
hans-trachsler-fonds,armut
hans-vogel-stiftung,menschen-mit-behinderungen
hans-wegmann-stiftung,schulerinnen-und-schuler-in-volksschulklassen-der-stadt-zurich-sowie-lernende-mi
hans-und-mathilde-eichenberger-stiftung,jugend-familie
hans-und-mathilde-eichenberger-stiftung,ausbildung
hans-und-mathilde-eichenberger-stiftung,armut
hatt-bucher-stiftung,personen-65
hedwig-widmer-stiftung,akademikerinnen-ab-stufe-masterdiplom
hedwig-widmer-stiftung,lic-uni-dipl-eth-keine-bachelor-absolventinnen
hausermann-courvoisier-stiftung,schuler-und-absolventen-der-kzo-kantonsschule-zurcher-oberland
helfer-und-schluter-stiftung,menschen-mit-behinderungen
helfer-und-schluter-stiftung,kranke
hirzel-stiftung,institutionen
hirzel-stiftung,vereine
hirzel-stiftung,bildungsinstitute
hirzel-stiftung,hilfswerke-und-in-vereinzelten-fallen-auch-initiativen-von-einzelpersonen
huber-graf-und-billeter-graf-stiftung,betagte
huber-graf-und-billeter-graf-stiftung,menschen-mit-behinderungen
huber-graf-und-billeter-graf-stiftung,kranke
huber-graf-und-billeter-graf-stiftung,ubrige
huber-graf-und-billeter-graf-stiftung,auslander-innen
huber-graf-und-billeter-graf-stiftung,gesundheit
huber-graf-und-billeter-graf-stiftung,armut
huber-graf-und-billeter-graf-stiftung,verschiedenes
hulfsgesellschaft-in-zurich,jugend-familie
hulfsgesellschaft-in-zurich,altere-menschen
hulfsgesellschaft-in-zurich,menschen-mit-behinderungen
hulfsgesellschaft-in-zurich,gesundheit-krankheit
hulfsgesellschaft-in-zurich,auslander-innen
hulfsgesellschaft-in-zurich,ausbildung
hulfsgesellschaft-in-zurich,armut
ilse-und-ernst-braunschweig-stiftung,die-ilse-und-ernst-braunschweig-stiftung-unterstutzt-unterschiedliche-projekte
ilse-und-ernst-braunschweig-stiftung,i-d-r-uber-einige-jahre-neue-projekte-werden-u-a-daraufhin-gepruft
ilse-und-ernst-braunschweig-stiftung,ob-die-projektverantwortlichen-selbst-engagiert-sind-und-ob-der-stiftungsrat-die
jacobs-foundation,jugend-familie
jacobs-foundation,wissenschaftler
jacobs-foundation,nachwuchs-wissenschaftler-und-projekttrager
jubilaumsstiftung-der-schweizer-reisekasse,menschen-mit-behinderung
jubilaumsstiftung-der-schweizer-reisekasse,sozial-benachteiligte
jugendhilfeverein-des-bezirkes-dielsdorf,kinder-und-jugendliche-bis-18-jahrig-aus-dem-bezirk-dielsdorf
kaspar-spoerry-stiftung,menschen-mit-behinderungen-sportinteressierte
kids-kidney-care,ganze-schweizer-bevolkerung
kids-kidney-care,unterstutzung-geht-an-familien-mit-nierenkranken-kindern-wie-auch-jung-nierentra
kolianda-stiftung,jugend-familie
kurt-fontheim-stiftung,jugend
kurt-fontheim-stiftung,ausbildung
lamprecht-steiger-stiftung,kultur
lamprecht-steiger-stiftung,chore
lamprecht-steiger-stiftung,insbesondere-laienchore
lotteriefonds-des-kantons-zurich,soziale-institutionen
lotteriefonds-des-kantons-zurich,gesundheit
lotteriefonds-des-kantons-zurich,armut
lotteriefonds-des-kantons-zurich,kultur
luchsinger-haggenmacher-stiftung,jugend-familie
luchsinger-haggenmacher-stiftung,menschen-mit-behinderungen-kinder-und-waisen-in-der-ganzen-schweiz-bis-zum-alter
luiza-penha-walter-renteiro-stiftung-bezirk-meilen,kinder
luiza-penha-walter-renteiro-stiftung-bezirk-meilen,jugendliche-sowie-junge-erwachsene-bis-langstens-20-j-mit-wohnsitz-im-bezirk-mei
martha-bock-stiftung,altere-menschen
martha-bock-stiftung,menschen-mit-behinderungen
martha-bock-stiftung,gesundheit-krankheit
martha-bock-stiftung,armut
max-rudolf-forrer-stiftung,primar-einwohner-und-burger-der-stadt-uster
max-rudolf-forrer-stiftung,unter-engen-voraussetzungen-ein-weiterer-kreis-von-bedurftigen
max-rudolf-forrer-stiftung,vornehmlich-im-kanton-zurich
max-rudolf-forrer-stiftung,welche-aufgrund-von-augenkrankheiten-finanzielle-hilfe-benotigen
max-und-erika-gideon-stiftung,betagte
max-und-erika-gideon-stiftung,behinderte
max-und-erika-gideon-stiftung,kranke
max-und-erika-gideon-stiftung,soziale-institutionen
max-und-erika-gideon-stiftung,gesundheit
max-und-erika-gideon-stiftung,armut
max-und-erika-gideon-stiftung,kultur
max-und-erika-gideon-stiftung,ausbildung
migros-genossenschafts-bund,siehe-www-migros-kulturprozent-ch
